Subcategory,Category,Brand Description,Size (ml),Per Case,Product Code,Case Price (VAT Excl),Case Price (VAT Incl),Bottle Price (VAT Excl),Bottle Price (VAT Incl),UPC,MSRP Price (Bottle)
French Wine,Wine,Chateauneuf Du Pape Red Calvet AOP,750,6,LGCF-CHAT-750x6,1659.84,1867.32,276.64,311.22,3159500071003.0,389.63
French Wine,Wine,Cote Du P. Rose Calvet Mur. De Rose AOP,750,6,LGCF-PROS-750x6,905.58,1018.0,150.93,169.67,3159500146701.0,196.56
French Wine,Wine,Cotes Du Rhone Red Calvet AOP,750,6,LGCF-RHON-750x6,655.2,737.1,109.2,122.85,3159505406020.0,153.56
French Wine,Wine,Cotes Du Rhone Rouge Chantecler,750,12,GDB-RHON-750x12,1387.08,1560.47,115.59,130.04,3351560020694.0,162.54
Uncategorized,Uncategorized,Fleurie Domaine Des 4 Vents,750,12,GDB-FLEU-750x12,1603.56,1804.09,133.63,150.33,3351560002256.0,187.92
Uncategorized,Uncategorized,G.D.B. Morgon,750,12,GDB-MORG-750x12,1599.29,1799.29,133.27,149.93,3351560001286.0,187.41
Uncategorized,Uncategorized,G.D.B. Brouilly,750,12,GDB-BROU-750x12,1395.91,1574.06,116.33,130.78,3351560001402.0,163.49
Uncategorized,Uncategorized,Julienas Ch. Des Capitans,750,12,GDB-JULI-750x12,1703.52,1916.46,141.96,159.71,3351560011666.0,199.93
Uncategorized,Uncategorized,La Cuvee Red Wine,750,12,GDB-CUVR-750x12,1231.78,1385.75,102.65,115.48,3351560000007.0,144.35
Uncategorized,Uncategorized,La Cuvee White Wine,750,12,GDB-CUVB-750x12,1231.78,1385.75,102.65,115.48,3351560000007.0,144.35
Wines Around the World,Wine,La Fage Miraflors Provence Rose,750,6,DLA-MIRO-750x6,764.4,859.95,127.4,143.33,3760031470239.0,175.0
French Sparkling,Sparkling Wine,Luc Belaire Bleu 750mlx6,750,6,LUB-BLUE-750x6,2135.11,2402.0,355.85,400.33,814394007089.0,500.0
French Sparkling,Sparkling Wine,Luc Belaire Bleu Gift Tube,750,6,LUB-BLGT-750x6,2135.11,2402.0,355.85,400.33,7895916403058.0,500.0
French Sparkling,Sparkling Wine,Luc Belaire Gold 750mlx6,750,6,LUB-GOLD-750x6,2248.4,2532.0,374.67,421.5,814394007038.0,527.0
French Sparkling,Sparkling Wine,Luc Belaire Gold in Gift Box Tube,750,6,LUB-GOGT-750x6,2167.11,2438.0,361.19,406.33,814394007038.0,528.99
French Sparkling,Sparkling Wine,Luc Belaire Luxe 750mlx6,750,6,LUB-LUXE-750x6,2135.11,2402.0,355.85,400.33,814394007020.0,500.0
French Sparkling,Sparkling Wine,Luc Belaire Luxe Gift Tube,750,6,LUB-LUGT-750x6,2244.44,2525.0,374.07,420.83,7895916403568.0,525.99
French Sparkling,Sparkling Wine,Luc Belaire Luxe Rose 750mlx6,750,6,LUB-LUXR-750x6,2190.67,2463.0,365.11,410.5,814394004310.0,514.99
French Sparkling,Sparkling Wine,Luc Belaire Luxe Rose Gift Tube,750,6,LUB-LRGT-750x6,2180.44,2453.0,363.41,408.83,7895916403590.0,519.99
French Sparkling,Sparkling Wine,Luc Belaire Luxe Rose Gift Tube,750,6,LUB-LRGT-750x6,2180.44,2453.0,363.41,408.83,7895916403590.0,519.99
French Sparkling,Sparkling Wine,Luc Belaire Rose Gift Tube,750,6,LUB-ROGT-750x6,2238.22,2518.0,373.04,419.67,789591645073.0,519.99
French Sparkling,Sparkling Wine,Luc Belaire Rose Jeroboam,3000,1,LUB-SPRJ-3000x1,1960.89,2206.0,1960.89,2206.0,5081349705923.0,2332.99
French Sparkling,Sparkling Wine,Luc Belaire Rose Sparkling 750x6,750,6,LUB-SPRO-750x6,2245.33,2526.0,374.22,421.0,813497005904.0,525.99
French Sparkling,Sparkling Wine,Luc Belaire Rose w/2 Flutes,750,6,LUB-ROGS-750x6,2244.44,2525.0,374.07,420.83,813497004440.0,525.99
Uncategorized,Uncategorized,Moulin A Vent Dom Du Pourpre,750,12,GDB-CUVV-750x12,1900.56,2138.13,158.38,178.13,3351560016321.0,222.72
French Wine,Wine,Mouton Cadet Blanc 2019,750,6,BDPR-MCBL-750x6,777.0,874.13,129.5,145.69,3262152001756.0,172.95
French Wine,Wine,Mouton Cadet Reserve Graves Rouge 2017,750,6,BDPR-MCRG-750x6,939.6,1057.05,156.6,176.18,3262151100757.0,220.21
French Wine,Wine,Mouton Cadet Reserve Saint Emilion 2017,750,6,BDPR-MCRS-750x6,997.73,1122.45,166.29,187.07,3262151101754.0,208.95
French Wine,Wine,Mouton Cadet Rouge 2017,750,6,BDPR-MCRO-750x6,846.42,952.22,141.07,158.7,3262151001757.0,198.38
Wines Around the World,Wine,Pays OC Rouge Honbon Red Blend,750,12,HOB-PARO-750x12,1226.67,1380.0,102.22,115.0,3351560016987.0,99.0
Uncategorized,Uncategorized,Pierre Marcel Sweet Red,750,6,LGCF-SWHI-750x6,500.86,563.47,83.48,93.91,3506010140701.0,117.39
Uncategorized,Uncategorized,Pierre Marcel Sweet White,750,6,LGCF-SRED-750x6,500.86,563.47,83.48,93.91,3506010087622.0,117.39
Uncategorized,Uncategorized,Pierre Marcel Sweet Rose,750,6,LGCF-SWRO-750x6,500.86,563.47,83.48,93.91,3506010104701.0,117.39
Uncategorized,Uncategorized,Pinot Noir 2019,750,6,BDPR-PINO-750x6,683.35,768.77,113.89,128.13,3262151081759.0,160.17
French Wine,Wine,Pouilly Fuisse Clos Reyssie,750,12,GDB-POUI-750x12,2611.55,2937.99,217.63,244.83,3315500259890.0,306.05
